,Unnamed: 0,Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Age,Work_Ratio,Loyalty_Ratio,OverTime_Binary,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Group_Old,Age_Group_Senior,Age_Group_Young,Income_Level_Low,Income_Level_Medium,Income_Level_Very_High
0,0,41,1,1102,1,2,1,1,2,0,94,3,2,4,5993,19479,8,Y,11,3,1,80,0,8,0,1,6,4,0,5,142.6904761904762,0.1904761904761904,0.6666666666666666,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1,1,49,0,279,8,1,1,2,3,1,61,2,2,2,5130,24907,1,Y,23,4,4,80,1,10,3,3,10,7,1,7,102.6,0.2,0.9090909090909092,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2,2,37,1,1373,2,2,1,4,4,1,92,2,1,3,2090,2396,6,Y,15,3,2,80,0,7,3,3,0,0,0,0,55.0,0.1842105263157894,0.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,3,33,0,1392,3,4,1,5,4,0,56,3,1,3,2909,23159,1,Y,11,3,3,80,0,8,3,3,8,7,3,0,85.55882352941177,0.2352941176470588,0.8888888888888888,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
4,4,27,0,591,2,1,1,7,1,1,40,3,1,2,3468,16632,9,Y,12,3,4,80,1,6,3,3,2,2,2,2,123.85714285714286,0.2142857142857142,0.2857142857142857,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5,5,32,0,1005,2,2,1,8,4,1,79,3,1,4,3068,11864,0,Y,13,3,3,80,0,8,2,2,7,7,3,6,92.96969696969695,0.2424242424242424,0.7777777777777778,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6,6,59,0,1324,3,3,1,10,3,0,81,4,1,1,2670,9964,4,Y,20,4,1,80,3,12,3,2,1,0,0,0,44.5,0.2,0.0769230769230769,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
7,7,30,0,1358,24,1,1,11,4,1,67,3,1,3,2693,13335,1,Y,22,4,2,80,1,1,2,3,1,0,0,0,86.87096774193549,0.032258064516129,0.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,8,38,0,216,23,3,1,12,4,1,44,2,3,3,9526,8787,0,Y,21,4,2,80,0,10,2,3,9,7,1,8,244.25641025641025,0.2564102564102564,0.8181818181818182,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
9,9,36,0,1299,27,3,1,13,3,1,94,3,2,3,5237,16577,6,Y,13,3,2,80,2,17,3,2,7,7,7,7,141.54054054054055,0.4594594594594595,0.3888888888888889,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
