,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_Group,Income_Per_Age,Income_Level,Work_Ratio,Loyalty_Ratio,OverTime_Binary
0,41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,11,3,1,80,0,8,0,1,6,4,0,5,Senior,142.6904761904762,High,0.19047619047619047,0.6666666666666666,1
1,49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,23,4,4,80,1,10,3,3,10,7,1,7,Senior,102.6,High,0.2,0.9090909090909091,0
2,37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,15,3,2,80,0,7,3,3,0,0,0,0,Mid,55.0,Low,0.18421052631578946,0.0,1
3,33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,11,3,3,80,0,8,3,3,8,7,3,0,Mid,85.55882352941177,Low,0.23529411764705882,0.8888888888888888,1
4,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,12,3,4,80,1,6,3,3,2,2,2,2,Young,123.85714285714286,Medium,0.21428571428571427,0.2857142857142857,0
5,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,13,3,3,80,0,8,2,2,7,7,3,6,Mid,92.96969696969697,Medium,0.24242424242424243,0.7777777777777778,0
6,59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,20,4,1,80,3,12,3,2,1,0,0,0,Old,44.5,Low,0.2,0.07692307692307693,1
7,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,22,4,2,80,1,1,2,3,1,0,0,0,Young,86.87096774193549,Low,0.03225806451612903,0.5,0
8,38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,21,4,2,80,0,10,2,3,9,7,1,8,Mid,244.25641025641025,Very_High,0.2564102564102564,0.8181818181818182,0
9,36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,13,3,2,80,2,17,3,2,7,7,7,7,Mid,141.54054054054055,High,0.4594594594594595,0.3888888888888889,0
10,35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,13,3,3,80,1,6,5,3,5,4,0,3,Mid,67.38888888888889,Low,0.16666666666666666,0.7142857142857143,0
11,29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,12,3,4,80,0,10,3,3,9,5,0,8,Young,139.76666666666668,Medium,0.3333333333333333,0.8181818181818182,1
