,Unnamed: 0.1,Unnamed: 0,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Age,Work_Ratio,Loyalty_Ratio,OverTime_Binary,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Group_Old,Age_Group_Senior,Age_Group_Young,Income_Level_Low,Income_Level_Medium,Income_Level_Very_High
0,1194,1194,47,1225,2,4,1,1676,2,0,47,4,4,2,15972,21086,6,Y,14,3,3,80,3,29,2,3,3,2,1,2,332.75,0.6041666666666666,0.1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,128,128,22,594,2,1,1,169,3,1,100,3,1,4,2523,19299,0,Y,14,3,3,80,1,3,2,3,2,1,2,1,109.69565217391305,0.1304347826086956,0.5,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2,810,810,46,406,3,1,1,1124,1,1,52,3,4,3,17465,15596,3,Y,12,3,4,80,1,23,3,3,12,9,4,9,371.5957446808511,0.4893617021276595,0.5,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3,478,478,25,622,13,1,1,645,2,1,40,3,1,3,2096,26376,1,Y,11,3,3,80,0,7,1,3,7,4,0,6,80.61538461538461,0.2692307692307692,0.875,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
4,491,491,43,1001,9,5,1,663,4,1,72,3,2,3,5679,19627,3,Y,13,3,2,80,1,10,3,3,8,7,4,7,129.0681818181818,0.2272727272727272,0.7272727272727273,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,258,258,51,833,1,3,1,353,3,1,96,3,1,4,2723,23231,1,Y,11,3,2,80,0,1,0,2,1,0,0,0,52.36538461538461,0.0192307692307692,0.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
7,812,812,43,1082,27,3,1,1126,3,0,83,3,3,1,10820,11535,8,Y,11,3,3,80,1,18,1,3,8,7,0,1,245.9090909090909,0.4090909090909091,0.4210526315789473,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
8,1132,1132,40,118,14,2,1,1598,4,0,84,3,2,1,4639,11262,1,Y,15,3,3,80,1,5,2,3,5,4,1,2,113.14634146341464,0.1219512195121951,0.8333333333333334,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
9,996,996,27,205,10,3,1,1403,4,0,98,2,2,4,5769,7100,1,Y,11,3,4,80,0,6,3,3,6,2,4,4,206.03571428571428,0.2142857142857142,0.8571428571428571,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
11,905,905,29,694,1,3,1,1264,4,0,87,2,4,4,16124,3423,3,Y,14,3,2,80,2,9,2,2,7,7,1,7,537.4666666666667,0.3,0.7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
12,334,334,45,549,8,4,1,452,4,1,75,3,2,4,3697,9278,9,Y,14,3,1,80,2,12,3,3,10,9,9,8,80.3695652173913,0.2608695652173913,0.7692307692307693,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
13,1082,1082,23,507,20,1,1,1533,1,1,97,3,2,3,2272,24812,0,Y,14,3,2,80,0,5,2,3,4,3,1,2,94.66666666666669,0.2083333333333333,0.6666666666666666,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
14,847,847,34,669,1,3,1,1184,4,1,97,2,2,1,5343,25755,0,Y,20,4,3,80,0,14,3,3,13,9,4,9,152.65714285714284,0.4,0.8666666666666667,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,1370,1370,47,1169,14,4,1,1934,3,1,64,3,2,2,5467,2125,8,Y,18,3,3,80,1,16,4,4,8,7,1,7,113.89583333333331,0.3333333333333333,0.4705882352941176,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
18,303,303,31,218,7,3,1,416,2,1,100,4,2,4,6929,12241,4,Y,11,3,2,80,1,10,3,2,8,7,7,7,216.53125,0.3125,0.7272727272727273,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19,93,93,46,638,1,3,1,124,3,1,40,2,3,1,10673,3142,2,Y,13,3,3,80,1,21,5,2,10,9,9,5,227.08510638297872,0.4468085106382978,0.4545454545454545,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
20,883,883,33,117,9,3,1,1238,1,1,60,3,1,4,2781,6311,0,Y,13,3,2,80,1,15,5,3,14,10,4,10,81.79411764705883,0.4411764705882353,0.875,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
21,168,168,38,702,1,4,1,230,1,0,59,2,2,4,8686,12930,4,Y,22,4,3,80,0,12,2,4,8,3,0,7,222.7179487179488,0.3076923076923077,0.6153846153846154,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
